bin,f606w_err,f814w_err,color_err
18.25,0.001,0.009833333333333333,0.01018005437957143
18.75,0.001,0.001,0.001414213562373095
19.25,0.001,0.001,0.001414213562373095
19.75,0.001,0.001,0.001414213562373095
20.25,0.0012413793103448277,0.001,0.0016125922143002283
20.75,0.001962962962962963,0.001074074074074074,0.002300399463890095
21.25,0.00275609756097561,0.0021219512195121953,0.0036234332534534498
21.75,0.002827586206896552,0.002103448275862069,0.0036012882371932297
22.25,0.004606060606060606,0.0027575757575757573,0.005565811398886543
22.75,0.006206349206349207,0.0038888888888888888,0.007606040311322291
23.25,0.006458333333333333,0.005527777777777778,0.00880823033593621
23.75,0.008064814814814815,0.007787037037037037,0.011498665105900157
24.25,0.011105769230769232,0.01621153846153846,0.020160875095914774
24.75,0.017701067615658362,0.020270462633451957,0.027312473873760967
25.25,0.019956521739130435,0.022992327365728902,0.030757969335752273
25.75,0.022800475059382423,0.026505938242280286,0.03515943714228677
26.25,0.02879910714285714,0.032723214285714286,0.043837575656456844
26.75,0.03993438914027149,0.04279411764705882,0.058857940436883395
27.25,0.06617527386541472,0.06155399061032864,0.09175437128640543
27.75,0.09917329255861367,0.0908144750254842,0.13629542005028605
28.25,0.13755686274509804,0.1320156862745098,0.1943343571793569
28.75,0.16874705882352942,0.1955529411764706,0.26477488747482747
29.25,0.16647916666666665,0.3571041666666667,0.39615189991425853
29.75,0.169,0.4808333333333333,0.5109502944145784
