bin,f606w_err,f814w_err,color_err
18.25,0.11458333333333333,0.10441666666666666,0.16248805016037973
18.75,0.0665,0.0529,0.0875655444454039
19.25,0.0014166666666666668,0.0018333333333333333,0.0023841577643113894
19.75,0.003217391304347826,0.002,0.0039036077088948785
20.25,0.0030714285714285717,0.002214285714285714,0.003848910432626162
20.75,0.0031290322580645163,0.003,0.004416658648732606
21.25,0.005127272727272728,0.004,0.006875565771627974
21.75,0.005274509803921569,0.005245098039215686,0.007633322745693722
22.25,0.006931034482758621,0.007020689655172414,0.010185974008172278
22.75,0.009700534759358288,0.012417112299465242,0.01660230635798676
23.25,0.020614213197969543,0.025756345177664973,0.033975262003204
23.75,0.02602542372881356,0.027707627118644065,0.03868029645178713
24.25,0.03018727915194346,0.031787985865724386,0.04443384415653064
24.75,0.03579391891891892,0.035976351351351354,0.05138004953996682
25.25,0.04565446224256293,0.04401601830663615,0.06412874573286788
25.75,0.06051186440677966,0.057199999999999994,0.08421459927184087
26.25,0.08990319792566984,0.0822428694900605,0.1241972926293553
26.75,0.12409081253319172,0.11360276155071694,0.17298759039270123
27.25,0.17235742971887552,0.1574987951807229,0.24134348044343762
27.75,0.19129014598540145,0.23299270072992703,0.3131033910625326
28.25,0.16456716417910447,0.36532089552238806,0.40234361864300655
28.75,0.163078125,0.453890625,0.48326865052864154
29.25,0.14800000000000002,0.477,0.499456279639769
