bin,f606w_err,f814w_err,color_err
18.25,0.055,0.08941666666666669,0.11625574822751382
18.75,0.08254545454545453,0.08336363636363636,0.11734089375469119
19.25,0.02428571428571429,0.024714285714285716,0.034684855060419864
19.75,0.0016153846153846155,0.0017692307692307693,0.0024570168396085747
20.25,0.002272727272727273,0.002,0.003094561284206061
20.75,0.003941176470588235,0.006823529411764706,0.009163255546743727
21.25,0.004130434782608695,0.0030434782608695656,0.00534272492038687
21.75,0.00853125,0.0053437499999999995,0.011096039906741916
22.25,0.0063125,0.0054687500000000005,0.00865025653016797
22.75,0.009029850746268657,0.007611940298507463,0.012397971219019874
23.25,0.009614035087719299,0.014403508771929825,0.0182347444803539
23.75,0.016271523178807947,0.02639735099337748,0.031988387433428286
24.25,0.02343362831858407,0.027991150442477873,0.03705599617593323
24.75,0.026402640264026403,0.031237623762376238,0.04160426014440819
25.25,0.03072676056338028,0.03488169014084507,0.047146603342585205
25.75,0.04152835051546391,0.04314690721649484,0.06125730167421483
26.25,0.05616460905349794,0.05778189300411523,0.08200413647142302
26.75,0.09402065404475042,0.08600000000000001,0.13114333037829398
27.25,0.12348004314994605,0.11776105717367853,0.17537783300784554
27.75,0.16617465475223397,0.1669991876523152,0.2436835374013513
28.25,0.1769931818181818,0.25385,0.31841762245012456
28.75,0.16006598984771575,0.40185786802030454,0.4340861785952068
29.25,0.1555357142857143,0.48975,0.5145714953084314
29.75,0.121,0.48,0.495016161352334
